Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
branch, system-noise, 14, 4, 14020163617, 32532234640, 11225657798, 1005379393, 311524743, 8582735406, 11399568, 11075405184, 8564447, 4621849, 2392133, 963222540, 555612821, 6207138, 12015537, 669428184, 354015466, 4837490, 5837123, 679095054, 371417586, 5017476, 6611339, 
branch, system-noise, 14, 5, 14020295159, 33549548173, 11249526200, 1008982680, 312012619, 8607531072, 11225285, 11168483647, 9420665, 4469810, 2346952, 980855352, 574722753, 5850564, 12246926, 674093901, 372538744, 4890817, 6397394, 679979417, 373853579, 4894870, 6813241, 
branch, system-noise, 14, 6, 14020475262, 33696755152, 11272125769, 1010947429, 312731142, 8604915837, 11172491, 11179281623, 9273960, 4651635, 2401672, 996747672, 579883927, 5792954, 12158016, 689271419, 354091828, 5014376, 6438867, 675434023, 365190151, 4862617, 6518803, 
longjmp, system-noise, 5, 1, 5020461873, 11178163000, 19460131656, 4113467579, 904067, 46511320, 2302391, 8615788102, 3174992, 5105831, 2482655, 499473535, 283077350, 3955614, 6830468, 266993140, 99304266, 1922220, 2253304, 248166853, 130045730, 1775418, 2470971, 
longjmp, system-noise, 5, 2, 5020308704, 10526677238, 19555319869, 4133552980, 875120, 44997266, 2299417, 8656192696, 3033414, 3809506, 2256356, 472311947, 301848219, 2819218, 6499689, 245128382, 109566875, 1807168, 1850951, 249560729, 124993308, 1779568, 2244013, 
longjmp, system-noise, 5, 3, 5020281600, 10016982600, 17513739740, 3701846309, 834188, 43733474, 2308188, 7753815151, 2971355, 3976166, 2312685, 524957789, 301607014, 2884842, 6735245, 244865062, 130871391, 1745531, 2320926, 253520684, 116683674, 1832444, 2133435, 
longjmp, system-noise, 5, 4, 5020573449, 10017868478, 17557220703, 3711573760, 831286, 43671164, 2302224, 7776473542, 2944948, 4218449, 2466843, 553644176, 322808739, 2939267, 7195295, 245303530, 130395852, 1766480, 2221531, 250370022, 116189193, 1750736, 2283615, 
longjmp, system-noise, 5, 5, 5020394083, 11865667584, 19404041406, 4101397491, 955008, 48642057, 2299157, 8589614949, 3476148, 3863729, 2291739, 518102703, 319637989, 2855174, 7257006, 245440154, 131733949, 1789693, 2348311, 247107735, 131587981, 1805911, 2374989, 
longjmp, system-noise, 5, 6, 5020195176, 11399672632, 15850961093, 3350063765, 868883, 46539397, 2249071, 7018883271, 3208334, 3985668, 2351242, 525366506, 305679956, 2781201, 6944259, 263400407, 103308399, 1907076, 2318237, 244475931, 134257524, 1759401, 2449613, 
longjmp, system-noise, 6, 1, 6020156910, 14431138003, 21188060584, 4478513891, 1080533, 56678455, 2600712, 9382303491, 3932562, 6569505, 3165227, 719935388, 396589213, 4428794, 8821841, 292480779, 161491398, 2170447, 2616951, 293337011, 161404782, 2111890, 2972202, 
